subwatershed,area,perimeter,watershed_length,drainage_density,shape_factor,ruggedness,population_density,housing_density
51201070101,50.82433042,49.17563056,19.49848009,0.460382927,7.480486665,0.009212759,299.4235217,6.945492387
51201070109,67.53558724,40.92839743,11.96837612,0.364623346,2.12098588,0.009277415,822.1295211,79.97265176
51201080410,95.8676969,50.67266543,21.17124474,0.368024888,4.675418503,0.031484991,86.02480572,1.251725074
51201080606,56.34028135,38.98406034,20.64396557,0.5173819,7.564273803,0.041070915,66.36459582,1.31344747
51201081104,50.21266568,38.9876171,16.96352934,0.339225831,5.730851448,0.021587188,54.56790558,0.318644704
51201081205,85.65500951,46.72846998,15.19175147,0.467333702,2.694405312,0.040038303,153.3944141,1.622788916
51201081606,66.58443707,42.75150368,20.45411479,0.307190624,6.283312289,0.020633717,83.81838528,2.928612279
51201100402,70.34044677,57.6107794,24.99991526,0.548567758,8.885297036,0.029988513,371.635399,11.0747093
51201100602,43.92938383,40.25601769,6.123101899,0.139385108,0.853469218,0.00897885,403.2835987,8.058387555
51201100605,65.57454582,51.55209778,24.60132667,0.375165796,9.229576297,0.038047614,139.6425989,1.433483051
51201111202,84.46754768,62.07038439,16.314801,0.431695072,3.151183373,0.019594395,150.9692225,2.036284996
51201111512,80.5298287,67.64560039,23.49415237,0.340346085,6.854294915,0.014870285,182.9508424,1.465295554
51201111902,61.76116893,43.80451736,10.96817642,0.394936376,1.947840301,0.024346219,419.7297501,18.89536775
51201130704,62.95578582,46.48106578,8.65266309,0.273515443,1.189224748,0.017875298,127.4862969,8.13269175
51202010103,53.08252934,37.24553104,11.97410505,0.379876333,2.701061789,0.019527913,238.9298354,3.221398869
51202010108,43.92102661,37.56448248,9.586475128,0.684801569,2.092403399,0.029035269,246.624472,7.695630682
51202010606,55.45791684,42.69012412,12.48850041,0.549868791,2.81227012,0.011234562,477.7857069,13.36148277
51202010610,71.68191603,60.64855595,19.24808251,0.645121609,5.168509728,0.034855162,721.6324963,31.63977926
51202011502,84.16337281,53.98343137,27.24922818,0.472057893,8.822370248,0.048583088,203.4733095,9.517204139
51202020904,45.85393487,35.60469006,7.567379645,0.469629308,1.248861954,0.026423635,272.1031474,1.65743682
51202030405,99.1506689,53.1513407,23.50228559,0.54829089,5.570889575,0.047776202,225.757428,5.71856959
51202030602,111.0041737,52.59231949,17.97040756,0.442864755,2.909219869,0.024856609,102.320477,2.243158898
51202040302,97.52050006,52.16075492,24.53059597,0.568466754,6.170498903,0.016527727,380.9147818,49.36397985
51202040404,82.15676482,55.31201733,10.5033989,0.547240883,1.342815635,0.024534547,528.5626825,22.37186437
51202040603,71.90831154,60.41008049,10.92842744,0.62099682,1.66087235,0.03714848,932.6042924,59.95134509
51202040806,72.48207951,53.25819406,20.61182336,0.719071775,5.861411055,0.036165516,496.3019859,9.657559562
51202050501,75.31946704,46.25471519,20.61387104,0.440107875,5.641724457,0.026224596,380.6983921,10.63470085
51202060105,130.9665523,59.88081737,28.89319488,0.220615068,6.374274164,0.018298013,178.2592547,5.383053825
51202060107,103.5024044,70.36644081,29.41636658,0.467726044,8.360410829,0.024845441,325.615624,17.15902167
51202060301,44.67781542,34.89682771,15.91201022,0.35615014,5.667064667,0.024158844,433.9961526,43.98155956
51202060503,89.25000953,53.83794397,19.60900974,0.471832703,4.308271395,0.03020774,203.8767289,2.913164955
51202070303,75.07145822,42.63534003,22.25229219,0.573441537,6.595909009,0.043837049,132.4071789,6.72692408
51202070504,65.3736364,51.12087132,21.28753778,1.23907192,6.93183506,0.189135057,388.6582023,11.19717428
51202070703,60.30844933,41.39200273,18.52828261,0.307225319,5.692357546,0.017528551,401.0880775,6.350685588
51202080203,76.33404301,45.4287572,20.71029813,0.623127007,5.618940539,0.060971203,143.3829464,7.467179486
51202080401,58.80462985,42.32474385,11.18974505,0.50555609,2.129260819,0.055442422,87.62915459,8.247649908
51202080801,65.07546728,38.05207654,9.866218783,0.266269213,1.495836713,0.02621415,1736.414731,123.9944996
51202080806,102.1754232,78.79742861,18.57150368,0.520462736,3.37557446,0.071149732,232.3455021,12.47853897
51202081501,50.71436969,40.87145393,13.40104378,1.115019374,3.541165464,0.078499603,355.1261725,20.21123414
51202090103,53.48235627,42.14669471,6.825770412,0.408121295,0.871149758,0.043594536,140.4949319,3.197316123
51401010404,74.47765858,48.67240128,21.36053768,0.716523948,6.126301213,0.06779489,264.7236819,8.190375633
51401010804,72.7818082,41.66925601,22.2781256,0.507450478,6.819216125,0.038250055,350.6095909,14.99000955
51401040302,67.89158325,49.07295855,24.39666138,0.669996617,8.766875919,0.07038009,510.3136257,30.43087083
51401041105,73.78471722,60.7767399,37.63032925,0.510445004,19.19153088,0.074288679,92.90541806,3.225600219
51402010501,81.22384782,51.94294752,15.76480075,0.19409079,3.059802625,0.015236596,129.4570533,11.89305882
51402010902,53.55156013,40.2372421,12.14798812,0.226846577,2.755729526,0.016499168,206.9967704,15.16295693
51402010907,85.24244691,65.94984422,21.2911231,0.371671445,5.317913074,0.030854245,205.7191063,1.618911763
51402010908,123.7922709,68.73747723,13.45710152,0.313432983,1.462882778,0.01771729,78.02587294,2.560741456
71200010502,68.13775541,60.08457624,15.44154052,0.253643218,3.499398711,0.009409414,359.6390848,32.25818031
71200010602,51.16999309,40.68171331,10.17306769,0.488090794,2.022499908,0.013473454,173.1483525,15.3410222
71200010703,66.97336588,46.91140135,11.37193773,0.815605808,1.930931291,0.015895365,95.14229898,3.613376703
71200011306,81.09125808,59.96377208,20.0777063,0.351442348,4.971118954,0.016765638,602.7530113,50.49866159
71200021301,61.69375101,45.05761883,9.514783822,0.599702082,1.467427571,0.016549182,49.0325187,0.842873049
